month,brand,price_tier,consider_purchase_tier,decision_tier,purchase_count,revenue,purchase_user_count,avg_time_to_purchase_sec,median_time_to_purchase_sec_approx
10월,zte,중가,12h 이내,5분 내 구매,8,1091.44,6,173.75,194.0
10월,zte,중가,12h 이내,즉시 구매(60s),3,409.29,3,36.33,36.0
11월,apple,고가,12h 이내,1시간 내 구매,753,695607.38,675,2489.87,2390.5
11월,apple,고가,12h 이내,1시간 초과,418,403891.4,368,5959.02,5005.5
11월,apple,고가,12h 이내,30분 내 구매,15796,14268523.94,13304,571.02,446.0
11월,apple,고가,12h 이내,5분 내 구매,67379,60883800.2,44670,139.22,123.0
11월,apple,고가,12h 이내,즉시 구매(60s),39885,36195711.52,19204,36.0,35.0
11월,apple,고가,36h 초과,1시간 초과,1576,1493298.77,1460,489006.22,549340.0
11월,apple,고가,즉시 구매,즉시 구매(60s),1443,1319676.3,1080,-84.67,-34.0
11월,apple,고가,36h 이내,1시간 초과,2,2558.27,2,93924.0,93924.0
11월,asus,고가,12h 이내,5분 내 구매,3,832.77,3,216.67,203.0
11월,asus,고가,12h 이내,30분 내 구매,3,832.77,2,991.67,893.0
11월,asus,고가,12h 이내,즉시 구매(60s),2,555.18,2,48.5,48.5
11월,asus,중가,12h 이내,30분 내 구매,1,228.41,1,342.0,342.0
11월,asus,중가,12h 이내,5분 내 구매,3,685.08,3,165.0,158.0
11월,asus,중가,12h 이내,즉시 구매(60s),1,228.39,1,48.0,48.0
11월,blackberry,고가,12h 이내,30분 내 구매,5,1954.99,2,589.2,609.0
11월,blackberry,고가,12h 이내,5분 내 구매,10,4115.9,7,125.5,122.0
11월,blackberry,고가,12h 이내,즉시 구매(60s),6,2469.54,3,25.0,24.0
11월,bq,저가,12h 이내,5분 내 구매,32,1907.72,31,139.88,124.0
11월,bq,저가,12h 이내,30분 내 구매,13,854.41,11,596.92,548.0
11월,bq,저가,12h 이내,즉시 구매(60s),27,1614.08,24,41.0,44.0
11월,bq,저가,36h 초과,1시간 초과,1,70.24,1,,
11월,bq,중가,12h 이내,5분 내 구매,12,1438.15,12,154.92,139.5
11월,bq,중가,12h 이내,즉시 구매(60s),4,396.31,3,46.5,48.0
11월,bq,중가,12h 이내,30분 내 구매,6,674.63,6,554.67,443.5
11월,bq,중가,12h 이내,1시간 내 구매,1,115.47,1,1859.0,1859.0
11월,doogee,저가,12h 이내,5분 내 구매,3,260.86,3,207.33,197.0
11월,doogee,저가,12h 이내,즉시 구매(60s),1,70.93,1,45.0,45.0
11월,doogee,저가,12h 이내,30분 내 구매,2,189.92,2,806.5,806.5
11월,doogee,중가,12h 이내,30분 내 구매,5,615.72,5,474.4,433.0
11월,doogee,중가,12h 이내,즉시 구매(60s),15,1875.73,12,38.67,34.0
11월,doogee,중가,12h 이내,5분 내 구매,27,3490.08,24,165.78,179.0
11월,doogee,중가,12h 이내,1시간 초과,2,253.64,2,4736.5,4736.5
11월,fly,저가,12h 이내,30분 내 구매,6,269.13,5,525.5,444.0
11월,fly,저가,12h 이내,즉시 구매(60s),12,545.36,12,34.17,36.75
11월,fly,저가,12h 이내,5분 내 구매,11,498.88,10,129.64,102.5
11월,gionee,저가,12h 이내,5분 내 구매,2,148.78,2,129.0,129.0
11월,gionee,저가,12h 이내,30분 내 구매,3,238.62,3,596.0,727.0
11월,gionee,중가,12h 이내,5분 내 구매,3,369.9,3,159.0,168.0
11월,gionee,중가,12h 이내,30분 내 구매,1,123.3,1,402.0,402.0
11월,google,고가,12h 이내,5분 내 구매,16,11975.58,13,151.94,127.0
11월,google,고가,12h 이내,30분 내 구매,6,3421.98,5,520.83,534.0
11월,google,고가,12h 이내,즉시 구매(60s),12,7150.11,7,42.58,42.0
11월,google,고가,36h 초과,1시간 초과,2,1222.17,2,,
11월,haier,저가,12h 이내,즉시 구매(60s),15,1021.57,13,38.2,38.75
11월,haier,저가,12h 이내,5분 내 구매,33,2359.67,26,159.67,149.5
11월,haier,저가,12h 이내,30분 내 구매,7,527.53,7,618.57,487.0
11월,haier,중가,12h 이내,즉시 구매(60s),6,831.28,5,39.33,35.0
11월,haier,중가,12h 이내,5분 내 구매,8,1096.36,8,191.62,204.5
11월,haier,중가,12h 이내,30분 내 구매,3,468.41,2,434.33,460.0
11월,honor,고가,12h 이내,5분 내 구매,100,39419.88,88,148.89,128.5
11월,honor,고가,12h 이내,즉시 구매(60s),49,19357.08,35,36.14,38.0
11월,honor,고가,12h 이내,1시간 내 구매,3,1312.69,3,2309.67,2144.0
11월,honor,고가,12h 이내,30분 내 구매,46,17667.05,40,593.67,482.0
